age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
56,admin.,married,primary,no,0,yes,no,cellular,3,apr,353,2,227,4,failure,no
24,services,single,secondary,no,496,yes,no,cellular,3,apr,297,1,323,2,failure,no
35,admin.,married,secondary,no,3187,yes,no,cellular,3,apr,445,1,135,3,failure,no
31,services,single,secondary,no,695,yes,no,cellular,3,apr,314,1,318,1,failure,no
34,blue-collar,single,secondary,yes,-60,no,no,cellular,3,apr,84,1,332,1,failure,no
38,technician,married,secondary,no,275,yes,no,cellular,3,apr,277,2,333,1,failure,no
56,retired,married,secondary,no,3948,no,no,cellular,3,apr,484,1,135,3,failure,no
39,management,married,secondary,no,517,yes,no,cellular,3,apr,240,1,136,5,failure,no
56,unemployed,divorced,secondary,no,283,yes,yes,cellular,20,apr,89,3,341,2,failure,no
57,technician,married,tertiary,no,3082,yes,yes,cellular,20,apr,267,2,294,3,failure,no
46,blue-collar,married,primary,no,292,yes,no,cellular,20,apr,386,2,234,4,failure,no
40,blue-collar,single,secondary,no,169,yes,no,cellular,20,apr,214,1,346,1,failure,no
34,management,single,tertiary,no,8038,yes,no,cellular,20,apr,29,3,152,1,failure,no
31,blue-collar,single,primary,no,71,yes,no,cellular,20,apr,185,3,336,6,failure,no
43,admin.,married,secondary,no,101,yes,no,cellular,20,apr,131,2,349,3,failure,no
27,student,single,secondary,no,2784,yes,no,telephone,20,apr,153,1,328,1,failure,no
53,admin.,married,secondary,no,225,yes,no,cellular,20,apr,304,1,340,1,failure,no
34,blue-collar,single,secondary,no,550,yes,no,cellular,20,apr,90,3,346,1,failure,no
33,blue-collar,married,secondary,no,2502,yes,no,cellular,20,apr,285,1,270,1,failure,no
51,blue-collar,married,primary,no,14,yes,yes,cellular,20,apr,233,2,329,1,failure,no
50,entrepreneur,married,tertiary,no,221,yes,no,cellular,20,apr,319,2,340,1,failure,no
34,blue-collar,married,primary,no,1217,yes,no,cellular,20,apr,142,2,328,3,failure,no
43,services,divorced,secondary,no,266,yes,yes,cellular,20,apr,79,1,152,1,failure,no
35,technician,single,tertiary,no,122,no,no,cellular,20,apr,49,5,328,5,failure,no
42,management,married,tertiary,no,72,yes,no,cellular,20,apr,124,2,348,3,failure,no
45,technician,married,secondary,no,497,yes,no,cellular,20,apr,72,1,321,2,failure,no
31,management,single,tertiary,no,635,yes,no,cellular,20,apr,37,1,320,2,failure,no
35,blue-collar,married,secondary,no,360,yes,no,telephone,20,apr,24,1,152,3,failure,no
35,admin.,married,secondary,no,1345,yes,no,cellular,20,apr,163,1,271,1,failure,no
39,blue-collar,married,secondary,no,2299,yes,no,cellular,20,apr,450,1,271,1,failure,no
48,services,married,primary,no,0,yes,no,cellular,20,apr,90,2,259,1,failure,no
33,blue-collar,single,secondary,no,15341,no,no,cellular,20,apr,335,1,334,3,failure,no
33,admin.,single,secondary,no,285,yes,no,cellular,1,apr,427,1,329,1,other,no
37,management,married,secondary,no,1180,yes,yes,cellular,1,apr,786,1,135,1,other,no
32,services,single,tertiary,no,1743,yes,no,cellular,1,apr,1156,1,261,3,other,no
35,technician,married,secondary,no,0,no,no,cellular,1,apr,295,1,303,1,other,no
49,admin.,married,primary,no,686,yes,yes,cellular,1,apr,286,2,225,4,other,no
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no
35,self-employed,married,tertiary,no,1250,yes,no,cellular,2,apr,361,1,136,1,other,no
35,blue-collar,married,secondary,no,2643,yes,no,cellular,2,apr,96,3,330,1,other,no
35,management,married,tertiary,no,1473,yes,no,cellular,20,apr,17,6,322,4,other,no
46,blue-collar,divorced,secondary,no,168,yes,no,cellular,20,apr,255,1,336,4,other,no
34,management,single,tertiary,no,5452,no,no,cellular,20,apr,96,1,245,5,other,no
30,services,married,secondary,no,4867,yes,yes,telephone,20,apr,8,6,306,3,other,no
33,admin.,married,secondary,no,6,yes,no,cellular,20,apr,386,1,349,3,other,no
43,admin.,married,secondary,no,1220,yes,no,cellular,20,apr,349,2,339,1,other,no
35,management,single,tertiary,no,1422,yes,yes,cellular,20,apr,28,7,272,3,other,no
36,blue-collar,married,secondary,no,-53,yes,no,cellular,20,apr,9,5,322,8,other,no
30,management,single,tertiary,no,63,yes,no,cellular,20,apr,260,1,320,1,other,no
35,admin.,divorced,tertiary,no,262,yes,no,cellular,20,apr,690,2,335,4,other,no
31,blue-collar,married,secondary,no,1664,yes,no,cellular,20,apr,158,1,182,1,success,no
38,services,married,secondary,no,5000,no,no,cellular,4,dec,720,5,536,5,failure,no
31,admin.,married,secondary,no,389,yes,no,cellular,7,dec,69,1,185,2,failure,no
42,management,married,tertiary,no,144,no,no,cellular,7,dec,143,1,283,3,failure,no
32,admin.,single,secondary,no,8626,no,no,cellular,7,dec,200,1,196,2,failure,no
57,retired,divorced,primary,no,698,no,no,telephone,9,dec,135,3,191,2,failure,no
22,student,single,tertiary,no,1258,no,no,cellular,10,dec,182,1,156,1,failure,no
45,management,married,tertiary,no,1788,no,no,cellular,10,dec,364,1,191,4,failure,no
40,management,single,tertiary,no,3797,no,no,cellular,14,dec,263,1,195,2,failure,no
35,management,married,tertiary,no,3402,no,no,cellular,14,dec,269,1,194,2,failure,no
64,housemaid,married,primary,no,67,no,no,telephone,14,dec,86,2,111,1,failure,no
43,unemployed,married,secondary,no,775,no,no,cellular,16,dec,325,1,124,2,failure,no
46,management,married,tertiary,no,0,yes,no,cellular,17,dec,155,1,199,2,failure,no
47,technician,married,secondary,no,0,yes,no,cellular,17,dec,97,1,231,2,failure,no
56,retired,married,secondary,no,393,no,yes,cellular,17,dec,103,1,206,1,failure,no
52,technician,married,secondary,no,195,yes,no,cellular,17,dec,110,2,205,3,failure,no
31,management,single,tertiary,no,596,no,no,cellular,17,dec,184,6,196,2,failure,no
29,services,married,secondary,no,399,no,no,cellular,18,dec,454,6,199,1,failure,no
44,blue-collar,married,secondary,no,1025,yes,no,cellular,21,dec,116,2,202,1,failure,no
40,admin.,single,secondary,no,782,yes,no,cellular,21,dec,94,5,202,17,failure,no
49,technician,married,secondary,no,905,no,no,cellular,21,dec,385,7,131,2,failure,no
48,self-employed,married,secondary,no,1559,no,no,cellular,24,dec,520,3,133,3,failure,no
59,management,married,tertiary,no,2764,no,no,cellular,24,dec,237,1,206,2,failure,no
49,housemaid,married,secondary,no,3570,no,no,cellular,24,dec,62,3,202,2,failure,no
32,management,single,tertiary,no,623,no,no,telephone,24,dec,273,1,203,1,failure,no
47,technician,married,secondary,no,3519,no,yes,cellular,28,dec,193,1,220,1,failure,no
35,technician,single,tertiary,no,7546,yes,no,cellular,28,dec,137,1,122,3,failure,no
36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,no
30,management,single,tertiary,no,2907,yes,no,cellular,30,dec,146,2,218,1,failure,no
40,admin.,married,secondary,no,3126,yes,no,cellular,30,dec,110,3,232,2,failure,no
33,management,married,tertiary,no,1071,no,no,cellular,2,feb,84,2,174,4,failure,no
36,technician,single,secondary,no,265,yes,yes,cellular,2,feb,88,1,273,1,failure,no
53,services,married,secondary,no,660,no,no,cellular,2,feb,210,1,272,2,failure,no
44,blue-collar,married,secondary,no,294,yes,no,cellular,2,feb,246,1,259,2,failure,no
31,management,single,tertiary,no,1130,yes,no,cellular,2,feb,181,1,264,3,failure,no
46,technician,married,secondary,no,363,yes,no,cellular,2,feb,346,1,180,3,failure,no
47,technician,married,secondary,no,349,yes,yes,cellular,2,feb,112,1,273,1,failure,no
37,blue-collar,married,primary,no,89,yes,no,cellular,2,feb,393,1,245,4,failure,no
32,admin.,single,secondary,no,1,no,no,cellular,2,feb,75,1,208,1,failure,no
46,services,divorced,secondary,no,-179,no,no,cellular,2,feb,151,1,214,2,failure,no
47,technician,divorced,secondary,no,129,no,no,cellular,2,feb,110,2,222,2,failure,no
38,blue-collar,married,secondary,no,757,yes,no,cellular,2,feb,133,1,272,1,failure,no
56,services,divorced,secondary,no,218,yes,no,cellular,2,feb,113,2,249,2,failure,no
37,blue-collar,married,secondary,no,520,yes,no,cellular,2,feb,54,1,255,2,failure,no
55,housemaid,married,secondary,no,5,no,no,cellular,2,feb,269,1,206,2,failure,no
45,admin.,married,secondary,no,1097,yes,yes,cellular,2,feb,174,1,208,1,failure,no
39,blue-collar,married,,no,0,no,no,cellular,2,feb,731,1,193,3,failure,no
52,technician,married,secondary,no,279,no,yes,cellular,2,feb,72,1,203,3,failure,no
36,blue-collar,single,primary,no,367,no,no,cellular,2,feb,217,1,221,1,failure,no
39,services,single,tertiary,no,1222,yes,no,cellular,2,feb,251,1,242,2,failure,no
53,self-employed,married,tertiary,no,451,yes,no,cellular,2,feb,125,1,249,2,failure,no
26,technician,single,secondary,no,3244,no,no,cellular,2,feb,141,1,5,1,failure,no
51,technician,married,secondary,no,1490,yes,no,cellular,2,feb,177,1,199,2,failure,no
47,admin.,divorced,secondary,no,207,yes,no,cellular,2,feb,244,1,271,4,failure,no
49,blue-collar,single,secondary,no,-367,yes,no,cellular,2,feb,98,1,207,1,failure,no
37,admin.,divorced,secondary,no,506,yes,no,cellular,2,feb,446,2,273,1,failure,no
40,blue-collar,married,secondary,no,123,yes,no,cellular,2,feb,247,1,241,3,failure,no
45,self-employed,married,tertiary,no,430,yes,no,cellular,2,feb,221,1,206,2,failure,no
48,blue-collar,married,secondary,no,578,yes,no,cellular,2,feb,70,1,250,1,failure,no
45,housemaid,divorced,primary,no,221,no,no,cellular,2,feb,93,1,235,1,failure,no
58,blue-collar,divorced,secondary,no,1103,yes,no,cellular,2,feb,226,1,202,4,failure,no
60,technician,married,secondary,no,358,no,no,cellular,2,feb,95,1,216,2,failure,no
40,unemployed,single,tertiary,no,97,yes,yes,cellular,2,feb,73,1,252,1,failure,no
36,technician,divorced,secondary,no,-94,yes,no,cellular,2,feb,185,1,252,2,failure,no
54,services,married,secondary,no,514,yes,no,cellular,2,feb,109,1,186,3,failure,no
40,unemployed,divorced,secondary,no,507,yes,no,cellular,2,feb,134,1,266,7,failure,no
39,technician,single,secondary,no,614,yes,no,cellular,2,feb,166,1,258,1,failure,no
31,technician,single,secondary,no,44,no,no,cellular,2,feb,200,5,175,2,failure,no
32,services,married,secondary,no,289,yes,no,cellular,2,feb,63,1,257,2,failure,no
47,entrepreneur,married,secondary,no,583,yes,no,cellular,2,feb,495,1,258,2,failure,no
34,blue-collar,married,secondary,no,-271,yes,yes,cellular,2,feb,90,1,252,2,failure,no
38,services,married,secondary,no,304,no,yes,cellular,2,feb,238,1,214,1,failure,no
38,technician,married,tertiary,no,447,yes,no,cellular,2,feb,224,1,269,1,failure,no
40,retired,married,primary,no,407,yes,no,cellular,2,feb,200,1,271,1,failure,no
56,technician,married,secondary,no,778,no,no,cellular,2,feb,315,2,208,1,failure,no
36,unemployed,married,secondary,no,533,yes,no,cellular,2,feb,619,1,272,1,failure,no
56,blue-collar,married,secondary,no,659,yes,no,cellular,2,feb,148,1,188,3,failure,no
37,services,single,secondary,no,174,yes,no,cellular,2,feb,134,1,271,2,failure,no
53,management,married,secondary,no,478,yes,no,cellular,2,feb,66,1,264,2,failure,no
45,services,married,secondary,no,-75,yes,no,cellular,2,feb,134,1,252,1,failure,no
48,services,married,secondary,no,51,yes,yes,cellular,2,feb,90,1,262,1,failure,no
47,admin.,single,secondary,no,15,no,no,cellular,2,feb,71,1,266,4,failure,no
53,management,married,primary,no,798,yes,no,telephone,2,feb,45,1,217,2,failure,no
54,self-employed,married,secondary,no,534,yes,no,cellular,2,feb,165,1,188,4,failure,no
38,services,single,secondary,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no
54,technician,married,secondary,no,719,yes,no,cellular,2,feb,242,1,264,1,failure,no
31,services,married,secondary,no,442,yes,no,cellular,2,feb,69,1,270,2,failure,no
42,management,single,tertiary,no,336,yes,no,cellular,2,feb,142,6,195,3,failure,no
38,services,married,secondary,no,8876,no,no,cellular,2,feb,280,1,75,1,failure,no
31,admin.,single,tertiary,no,5,no,yes,cellular,2,feb,75,1,206,1,failure,no
26,management,single,tertiary,no,0,no,yes,cellular,2,feb,145,1,199,1,failure,no
37,management,married,secondary,no,10,no,yes,cellular,2,feb,164,1,250,2,failure,no
38,self-employed,married,secondary,no,290,yes,no,cellular,2,feb,123,1,258,1,failure,no
55,management,married,primary,no,621,no,yes,cellular,2,feb,114,1,208,1,failure,no
33,management,single,tertiary,no,474,yes,no,cellular,2,feb,62,1,179,3,failure,no
40,technician,married,secondary,no,504,yes,no,cellular,2,feb,96,1,266,1,failure,no
34,admin.,married,secondary,no,50,yes,no,cellular,2,feb,173,1,258,2,failure,no
39,management,single,tertiary,no,-145,yes,no,cellular,2,feb,268,2,196,2,failure,no
45,management,married,tertiary,no,474,yes,yes,cellular,2,feb,190,4,264,4,failure,no
60,retired,married,primary,no,174,yes,yes,cellular,2,feb,157,2,252,1,failure,no
57,admin.,married,secondary,no,11,no,no,cellular,2,feb,261,1,265,3,failure,no
49,admin.,married,secondary,no,359,yes,no,cellular,2,feb,231,2,271,1,failure,no
37,management,married,tertiary,no,59,yes,yes,telephone,2,feb,319,1,213,1,failure,no
48,admin.,single,secondary,no,303,yes,yes,cellular,2,feb,142,1,189,4,failure,no
49,self-employed,married,tertiary,no,147,no,yes,cellular,2,feb,559,1,189,4,failure,no
35,services,married,secondary,no,630,yes,no,cellular,2,feb,134,1,271,2,failure,no
43,blue-collar,married,secondary,no,1109,yes,no,cellular,2,feb,115,3,264,2,failure,no
48,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,2,feb,115,2,187,2,failure,no
43,blue-collar,married,secondary,no,597,yes,no,cellular,2,feb,87,1,263,1,failure,no
38,technician,single,secondary,no,103,yes,no,cellular,2,feb,159,1,187,3,failure,no
31,management,single,secondary,no,783,yes,no,cellular,2,feb,221,2,272,1,failure,no
32,management,single,secondary,no,453,yes,no,cellular,2,feb,544,1,269,2,failure,no
37,technician,married,secondary,no,494,yes,no,cellular,2,feb,247,2,269,3,failure,no
60,services,married,secondary,no,292,no,yes,cellular,2,feb,260,5,195,4,failure,no
32,admin.,single,tertiary,no,2004,no,no,cellular,2,feb,141,1,75,1,failure,no
37,management,single,tertiary,no,230,yes,yes,cellular,2,feb,120,2,272,1,failure,no
45,admin.,married,secondary,no,1214,yes,no,cellular,2,feb,150,2,189,2,failure,no
35,technician,married,tertiary,no,1526,yes,no,cellular,2,feb,236,2,217,4,failure,no
56,entrepreneur,married,secondary,no,5838,no,no,cellular,2,feb,116,2,230,2,failure,no
31,technician,married,secondary,no,671,no,no,cellular,2,feb,119,2,175,2,failure,no
57,technician,married,secondary,no,589,yes,no,cellular,2,feb,223,1,76,4,failure,no
29,admin.,single,secondary,no,-498,yes,no,cellular,2,feb,99,3,227,14,failure,no
38,admin.,single,secondary,no,569,yes,yes,cellular,2,feb,164,2,272,2,failure,no
34,technician,married,secondary,no,4,yes,no,cellular,2,feb,105,2,263,1,failure,no
42,management,married,tertiary,no,477,yes,no,cellular,2,feb,413,2,242,3,failure,no
53,technician,married,secondary,no,598,no,no,cellular,2,feb,340,3,264,2,failure,no
57,retired,married,secondary,no,485,no,no,cellular,2,feb,79,2,187,2,failure,no
41,blue-collar,divorced,primary,no,320,yes,no,cellular,2,feb,844,2,252,1,failure,no
38,technician,married,secondary,no,581,yes,no,cellular,2,feb,223,2,272,1,failure,no
46,blue-collar,married,secondary,no,-221,yes,yes,cellular,2,feb,219,2,244,1,failure,no
46,technician,married,secondary,no,317,yes,yes,cellular,2,feb,24,7,250,1,failure,no
37,management,married,,no,247,no,no,cellular,2,feb,192,2,208,1,failure,no
35,admin.,married,secondary,no,287,yes,no,cellular,2,feb,115,3,245,8,failure,no
58,retired,divorced,secondary,no,8266,yes,no,cellular,2,feb,98,2,271,1,failure,no
46,technician,married,secondary,no,1028,yes,no,cellular,2,feb,96,2,208,1,failure,no
35,admin.,married,secondary,no,220,yes,no,cellular,2,feb,153,4,244,13,failure,no
37,technician,married,secondary,no,318,no,no,cellular,2,feb,167,1,187,2,failure,no
31,management,single,tertiary,no,112,yes,no,cellular,2,feb,159,2,271,1,failure,no
45,technician,married,secondary,no,0,yes,yes,telephone,2,feb,111,2,208,1,failure,no
42,services,married,primary,no,124,yes,no,cellular,2,feb,164,2,262,2,failure,no
36,management,married,tertiary,no,806,yes,no,cellular,3,feb,106,2,259,1,failure,no
54,technician,divorced,secondary,no,0,yes,yes,cellular,3,feb,62,2,203,5,failure,no
49,management,divorced,tertiary,no,4961,yes,no,cellular,3,feb,298,2,231,1,failure,no
47,services,married,secondary,no,1160,yes,no,cellular,3,feb,117,2,221,4,failure,no
36,services,single,secondary,no,774,yes,no,cellular,3,feb,231,2,259,1,failure,no
33,management,married,tertiary,no,644,yes,yes,cellular,3,feb,124,2,271,2,failure,no
51,services,married,secondary,no,867,yes,no,cellular,3,feb,177,2,211,3,failure,no
32,services,married,secondary,no,414,yes,no,cellular,3,feb,236,2,272,1,failure,no
50,housemaid,single,primary,no,1158,yes,no,cellular,3,feb,116,3,265,3,failure,no
37,housemaid,married,secondary,no,12939,yes,yes,cellular,3,feb,77,3,202,9,failure,no
35,services,married,secondary,no,1659,yes,no,cellular,3,feb,149,3,215,1,failure,no
50,technician,married,tertiary,no,199,yes,yes,cellular,3,feb,116,2,253,1,failure,no
58,retired,married,primary,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
41,management,single,tertiary,no,572,yes,no,cellular,3,feb,419,2,271,2,failure,no
28,entrepreneur,married,tertiary,no,59,no,no,cellular,3,feb,330,3,190,6,failure,no
47,blue-collar,single,secondary,no,152,yes,no,cellular,3,feb,193,3,271,4,failure,no
31,services,married,primary,no,997,yes,no,cellular,3,feb,256,1,190,3,failure,no
35,admin.,single,secondary,no,0,yes,no,cellular,3,feb,80,1,273,1,failure,no
32,blue-collar,married,secondary,no,4471,yes,no,cellular,3,feb,197,1,270,2,failure,no
33,technician,single,tertiary,no,390,yes,no,cellular,3,feb,161,1,256,1,failure,no
29,services,married,secondary,no,222,yes,no,cellular,3,feb,197,1,250,23,failure,no
34,technician,married,secondary,no,883,no,no,telephone,3,feb,166,2,173,3,failure,no
40,admin.,married,secondary,no,0,yes,no,cellular,3,feb,561,1,201,1,failure,no
48,admin.,married,primary,no,3,yes,no,cellular,3,feb,69,1,252,4,failure,no
32,housemaid,married,tertiary,no,357,yes,no,cellular,3,feb,133,3,77,2,failure,no
33,services,married,tertiary,no,546,yes,yes,cellular,3,feb,54,2,270,1,failure,no
51,blue-collar,married,primary,no,377,yes,no,telephone,3,feb,143,4,272,1,failure,no
52,entrepreneur,divorced,tertiary,no,199,yes,yes,cellular,3,feb,373,1,236,2,failure,no
35,management,single,tertiary,no,1891,yes,no,cellular,3,feb,188,3,270,5,failure,no
31,blue-collar,married,primary,no,124,yes,no,cellular,3,feb,343,1,264,4,failure,no
49,admin.,married,secondary,no,1403,no,no,cellular,3,feb,124,2,180,2,failure,no
39,blue-collar,married,secondary,no,661,yes,no,cellular,3,feb,84,4,267,4,failure,no
46,management,married,tertiary,no,-319,yes,no,cellular,3,feb,80,1,256,1,failure,no
32,services,married,secondary,no,1844,yes,yes,cellular,3,feb,158,4,201,6,failure,no
33,student,single,secondary,no,1883,yes,no,cellular,3,feb,121,5,256,1,failure,no
36,management,married,tertiary,no,1582,no,no,telephone,3,feb,26,2,197,1,failure,no
51,housemaid,married,primary,no,605,no,no,cellular,3,feb,91,2,159,14,failure,no
42,,single,primary,no,2398,yes,no,cellular,3,feb,144,2,271,2,failure,no
34,blue-collar,married,secondary,no,261,yes,no,cellular,3,feb,88,5,251,3,failure,no
46,,married,,no,677,no,no,cellular,3,feb,425,1,82,1,failure,no
52,management,married,tertiary,no,0,yes,no,cellular,3,feb,790,1,249,1,failure,no
27,admin.,married,secondary,no,-401,yes,yes,cellular,3,feb,205,3,214,1,failure,no
54,blue-collar,married,secondary,no,175,yes,no,cellular,3,feb,94,4,271,4,failure,no
36,management,single,tertiary,no,219,no,no,cellular,3,feb,22,6,196,6,failure,no
31,blue-collar,married,,no,-120,yes,no,cellular,3,feb,100,3,201,2,failure,no
43,technician,married,secondary,no,473,yes,no,cellular,3,feb,148,3,211,5,failure,no
42,blue-collar,married,primary,no,-97,yes,no,cellular,3,feb,216,4,271,5,failure,no
34,technician,single,tertiary,no,586,yes,no,cellular,3,feb,43,5,263,2,failure,no
32,management,married,tertiary,no,272,yes,no,cellular,3,feb,188,4,209,1,failure,no
58,technician,married,secondary,no,629,yes,no,cellular,3,feb,193,3,265,2,failure,no
58,self-employed,married,secondary,no,0,yes,no,telephone,3,feb,702,3,264,9,failure,no
56,management,married,tertiary,no,2366,yes,yes,cellular,3,feb,538,2,188,4,failure,no
29,technician,married,secondary,no,655,yes,no,cellular,3,feb,225,3,270,2,failure,no
42,admin.,single,secondary,no,400,yes,no,cellular,3,feb,198,5,244,6,failure,no
42,technician,married,tertiary,no,725,yes,yes,telephone,3,feb,124,3,252,3,failure,no
56,blue-collar,married,primary,no,284,no,yes,telephone,3,feb,124,4,204,4,failure,no
41,management,divorced,tertiary,no,-78,yes,no,cellular,3,feb,69,4,252,4,failure,no
50,technician,married,secondary,no,103,yes,no,cellular,3,feb,109,4,267,6,failure,no
33,management,single,tertiary,no,191,no,yes,cellular,3,feb,678,4,209,1,failure,no
53,blue-collar,married,primary,no,-211,yes,yes,cellular,3,feb,195,6,251,2,failure,no
41,technician,single,tertiary,no,-89,yes,no,cellular,3,feb,195,4,251,4,failure,no
55,blue-collar,married,primary,no,781,yes,no,cellular,3,feb,112,3,270,2,failure,no
54,admin.,single,secondary,no,1178,yes,no,telephone,3,feb,41,6,264,2,failure,no
45,technician,married,secondary,no,366,no,yes,cellular,3,feb,235,2,169,12,failure,no
32,technician,single,tertiary,no,47,yes,no,cellular,3,feb,693,7,204,3,failure,no
31,management,married,tertiary,no,302,yes,yes,cellular,4,feb,181,1,257,1,failure,no
59,retired,married,tertiary,no,941,no,yes,cellular,4,feb,231,1,210,1,failure,no
51,technician,divorced,,no,1328,yes,no,cellular,4,feb,119,1,251,1,failure,no
60,technician,married,primary,no,4243,yes,no,cellular,4,feb,387,1,251,1,failure,no
36,technician,single,secondary,no,1855,yes,no,cellular,4,feb,75,1,273,1,failure,no
38,entrepreneur,married,secondary,no,351,yes,no,cellular,4,feb,112,1,244,3,failure,no
52,admin.,married,primary,no,2281,yes,yes,telephone,4,feb,82,1,244,1,failure,no
38,admin.,divorced,secondary,no,308,yes,no,cellular,4,feb,197,1,274,1,failure,no
39,services,married,secondary,no,105,no,no,cellular,4,feb,137,1,189,2,failure,no
47,blue-collar,married,secondary,no,243,yes,no,cellular,4,feb,220,1,246,4,failure,no
38,admin.,single,secondary,no,221,yes,no,cellular,4,feb,93,2,274,2,failure,no
36,blue-collar,married,secondary,no,0,no,no,cellular,4,feb,235,1,244,1,failure,no
43,admin.,married,primary,no,392,yes,yes,cellular,4,feb,110,1,208,2,failure,no
33,technician,married,secondary,no,0,yes,no,cellular,4,feb,56,1,274,2,failure,no
36,blue-collar,single,secondary,no,376,yes,yes,cellular,4,feb,180,1,274,3,failure,no
37,admin.,divorced,secondary,no,496,no,no,cellular,4,feb,118,4,272,3,failure,no
37,services,married,secondary,no,895,yes,yes,cellular,4,feb,219,2,245,1,failure,no
51,technician,married,secondary,no,2,yes,yes,cellular,4,feb,71,1,205,3,failure,no
59,unemployed,married,secondary,no,4497,yes,no,cellular,4,feb,213,1,251,1,failure,no
56,technician,married,primary,no,284,no,no,cellular,4,feb,177,1,197,9,failure,no
28,technician,single,secondary,no,34,yes,no,cellular,4,feb,16,6,268,4,failure,no
57,retired,married,primary,no,-464,yes,no,cellular,4,feb,75,1,190,6,failure,no
32,technician,married,secondary,no,4,no,no,cellular,4,feb,145,2,260,4,failure,no
39,management,divorced,tertiary,no,-980,yes,no,cellular,4,feb,52,2,260,1,failure,no
58,retired,single,secondary,no,1640,no,yes,cellular,4,feb,72,6,274,4,failure,no
30,technician,single,tertiary,no,405,yes,no,cellular,4,feb,128,1,274,1,failure,no
38,entrepreneur,married,tertiary,no,227,yes,no,cellular,4,feb,89,1,209,1,failure,no
37,services,single,secondary,no,342,yes,no,cellular,4,feb,127,1,273,1,failure,no
42,admin.,single,secondary,no,30,yes,no,cellular,4,feb,98,1,266,3,failure,no
58,management,married,tertiary,no,2142,yes,no,cellular,4,feb,41,2,274,3,failure,no
53,blue-collar,married,secondary,no,1103,yes,yes,cellular,4,feb,101,2,250,4,failure,no
33,blue-collar,married,primary,no,158,yes,no,cellular,4,feb,110,1,264,4,failure,no
41,blue-collar,divorced,primary,no,548,yes,yes,cellular,4,feb,149,1,250,1,failure,no
45,entrepreneur,married,secondary,no,242,no,yes,cellular,4,feb,510,1,198,4,failure,no
32,blue-collar,single,primary,no,354,no,no,cellular,4,feb,239,1,196,8,failure,no
54,retired,divorced,secondary,yes,-200,no,yes,cellular,4,feb,71,1,243,1,failure,no
45,blue-collar,married,secondary,no,1778,yes,no,cellular,4,feb,41,1,251,5,failure,no
39,management,married,secondary,no,794,yes,no,cellular,4,feb,71,1,243,3,failure,no
45,admin.,married,secondary,no,985,yes,no,telephone,4,feb,156,1,267,1,failure,no
